		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		15,940.70m	14,570.60m	12,688.10m	4,676.50m	2,602.50m	5,914.90m	4,584.40m	3,566.90m	2,793.00m	2,535.50m
Operating Income		(5,921.20m)	(1,825.50m)	(3,131.00m)	(2,567.20m)	(369.20m)	315.70m	523.40m	305.40m	383.90m	358.20m
Net Income		(4,125.50m)	14,973.40m	3,915.20m	(1,630.50m)	(750.40m)	97.30m	260.90m	184.40m	222.00m	238.40m
Weighted Average Shs Out		333.8m	384.9m	367.8m	219.7m	142.3m	125.8m	124.5m	122.4m	105.0m	102.8m
Weighted Average Shs Out (Dil.)		333.8m	384.9m	367.8m	219.7m	142.3m	128.4m	126.5m	124.2m	116.4m	117.7m
EPS		(13.19)	38.18	10.01	(7.42)	(5.27)	0.77	2.10	1.51	2.11	2.32
Market Cap		54,685.81m	83,153.92m	123,163.92m	68,229.38m	29,240.06m	10,987.08m	8,093.35m	6,472.21m	4,204.21m	2,779.43m
Cash and short-term investments		6,449.30m	13,225.50m	1,105.30m	251.00m	331.50m	328.00m	224.20m	293.90m	215.00m	520.80m
Total assets		118,341.90m	128,986.30m	135,583.30m	52,758.00m	22,725.90m	14,114.80m	6,698.30m	5,686.60m	5,903.50m	3,677.90m
Total debt		30,075.30m	32,768.70m	42,530.40m	15,531.10m	9,052.00m	6,433.30m	1,033.00m	1,016.10m	1,457.80m	877.90m
Shareholders Equity		73,821.10m	76,192.70m	76,591.40m	28,331.10m	9,532.10m	3,833.80m	3,563.60m	3,281.70m	3,023.10m	2,108.60m
Working Capital		1,528.60m	9,983.20m	287.10m	1,863.10m	1,139.80m	1,089.00m	730.20m	978.70m	721.60m	976.40m
Income Quality		-1.33	0.10	1.25	-1.38	-1.62	6.84	2.42	3.10	1.70	1.75
Operating CF		5,873.40m	1,445.70m	4,606.10m	2,243.00m	1,213.50m	665.80m	632.00m	571.00m	376.80m	416.60m
Capital Expenditure		(342.80m)	(298.10m)	(314.80m)	(224.90m)	(170.80m)	(129.50m)	(120.00m)	(53.90m)	(52.40m)	(63.50m)
Depreciation & Amortization		7,368.60m	6,631.00m	5,995.30m	2,828.40m	1,044.70m	578.60m	447.90m	281.90m	189.00m	170.70m
Gross Margin		86.40%	87.23%	78.31%	63.55%	36.80%	42.61%	44.02%	43.97%	42.83%	40.73%
EBIT Margin		-60.85%	98.64%	27.61%	-37.04%	-25.59%	6.01%	11.49%	9.41%	14.21%	15.24%
Profit Margin		-27.60%	100.90%	29.00%	-34.90%	-28.80%	1.60%	5.70%	5.20%	7.90%	9.40%
P/E		0.00	5.93	31.22	0.00	0.00	111.69	40.50	34.21	18.77	11.45
P/S		3.53	5.81	9.71	14.59	11.24	1.86	2.03	1.81	1.51	1.10
P/B		0.77	0.92	1.61	2.00	2.51	2.83	2.16	1.94	1.44	1.30
ROA		-3.60%	10.90%	2.60%	-4.20%	-4.70%	1.10%	4.10%	3.20%	5.10%	6.70%
ROE		-6.00%	18.40%	5.00%	-8.50%	-14.70%	2.60%	7.50%	5.80%	9.10%	11.90%
ROIC		-3.48%	-1.03%	-1.52%	-3.35%	-1.18%	1.76%	6.79%	4.16%	4.85%	8.21%
Sales per Share		47.76	37.86	34.50	21.29	18.29	47.02	36.82	29.14	26.60	24.66
FCF per Share		16.57	2.98	11.67	9.19	7.33	4.26	4.11	4.23	3.09	3.44
Book Value per Share		222.76	213.78	194.15	128.95	66.99	30.40	28.55	26.68	27.53	20.45
Dividend per Share		2.80	0.00	0.10	0.20	0.10	0.00	0.00	0.00	0.00	0.00
