		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		22,849.00m	22,991.00m	21,662.00m	20,063.00m	18,676.00m	17,265.00m	15,582.00m	15,053.00m	14,642.00m	15,003.00m
Operating Income		9,973.00m	9,794.00m	8,470.00m	6,191.00m	5,867.00m	5,577.00m	4,312.00m	5,545.00m	5,506.00m	5,214.00m
Net Income		1,979.00m	7,722.00m	6,939.00m	5,158.00m	5,081.00m	4,345.00m	3,683.00m	4,627.00m	4,605.00m	4,052.00m
Weighted Average Shs Out		731.0m	748.0m	758.0m	759.0m	753.0m	775.0m	905.0m	960.0m	1.0b	1.1b
Weighted Average Shs Out (Dil.)		735.0m	754.0m	766.0m	770.0m	765.0m	787.0m	912.0m	965.0m	1.0b	1.1b
EPS		2.71	10.32	9.15	6.80	6.75	5.61	4.07	4.82	4.53	3.79
Market Cap		126,890.44m	109,417.85m	122,450.04m	121,167.12m	86,030.72m	66,146.02m	59,335.91m	51,870.37m	57,256.67m	61,187.33m
Cash and short-term investments		41,678.00m	38,085.00m	31,382.00m	27,026.00m	19,401.00m	24,061.00m	20,641.00m	17,422.00m	13,442.00m	9,552.00m
Total assets		79,954.00m	77,626.00m	71,449.00m	69,009.00m	66,125.00m	54,298.00m	48,871.00m	43,486.00m	39,629.00m	36,427.00m
Total debt		35,342.00m	34,596.00m	31,429.00m	30,715.00m	32,128.00m	26,529.00m	21,428.00m	13,362.00m	10,601.00m	9,352.00m
Shareholders Equity		25,241.00m	29,875.00m	28,083.00m	25,778.00m	22,096.00m	19,060.00m	19,029.00m	23,944.00m	22,667.00m	20,885.00m
Working Capital		40,456.00m	34,806.00m	29,851.00m	27,705.00m	19,420.00m	23,018.00m	21,839.00m	16,559.00m	15,059.00m	10,335.00m
Income Quality		5.65	1.34	1.40	1.74	1.24	1.35	1.39	1.25	1.38	1.48
Operating CF		11,177.00m	10,354.00m	9,731.00m	8,952.00m	6,291.00m	5,882.00m	5,119.00m	5,787.00m	6,336.00m	5,988.00m
Capital Expenditure		(653.00m)	(660.00m)	(320.00m)	(715.00m)	(673.00m)	(689.00m)	(567.00m)	(580.00m)	(530.00m)	(672.00m)
Depreciation & Amortization		1,955.00m	2,105.00m	2,108.00m	2,092.00m	1,286.00m	1,088.00m	1,060.00m	1,017.00m	1,049.00m	1,073.00m
Gross Margin		82.19%	81.90%	80.49%	77.96%	82.08%	81.47%	82.62%	85.25%	85.72%	84.70%
EBIT Margin		47.71%	45.34%	41.88%	33.18%	33.66%	35.11%	30.55%	39.33%	39.49%	37.10%
Profit Margin		8.70%	33.60%	32.00%	25.70%	27.20%	25.20%	23.60%	30.70%	31.50%	27.00%
P/E		15.61	14.48	17.74	23.43	16.90	15.37	15.82	11.39	12.49	15.24
P/S		5.51	4.85	5.65	6.04	4.61	3.83	3.84	3.45	3.91	4.08
P/B		3.93	3.55	4.35	4.71	3.90	3.45	2.47	2.16	2.51	2.92
ROA		2.50%	10.10%	9.80%	7.50%	8.90%	8.20%	8.00%	11.00%	11.70%	11.10%
ROE		6.60%	25.90%	25.20%	21.00%	24.20%	22.50%	15.80%	19.80%	21.20%	20.70%
ROIC		20.50%	18.70%	15.73%	10.91%	8.88%	14.20%	11.95%	15.77%	15.42%	14.18%
Sales per Share		31.26	30.74	28.58	26.43	24.80	22.28	17.22	15.68	14.41	14.02
FCF per Share		14.40	12.96	12.42	10.85	7.46	6.70	5.03	5.42	5.72	4.97
Book Value per Share		34.82	40.59	37.34	33.83	29.23	24.98	22.28	25.42	22.58	19.80
Dividend per Share		4.60	4.00	3.16	2.44	1.88	1.44	0.56	0.00	0.00	0.00
