		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		93,392.00m	94,571.00m	96,114.00m	90,762.00m	86,623.00m	81,698.00m	68,735.00m	64,306.00m	68,281.00m	60,909.00m
Operating Income		10,257.00m	5,841.00m	7,444.00m	7,483.00m	6,542.00m	6,286.00m	5,799.00m	4,965.00m	2,120.00m	3,946.00m
Net Income		8,197.00m	4,895.00m	5,176.00m	5,446.00m	4,585.00m	3,900.00m	4,018.00m	3,307.00m	1,312.00m	2,672.00m
Weighted Average Shs Out		595.6m	617.2m	670.0m	712.9m	751.5m	754.1m	743.2m	733.6m	726.6m	732.8m
Weighted Average Shs Out (Dil.)	
EPS		13.60	7.70	7.52	7.47	6.03	5.15	5.39	4.49	1.86	3.70
Market Cap		174,316.40m	97,117.22m	96,872.93m	92,666.70m	102,565.88m	56,827.23m	54,359.06m	47,873.46m	39,330.81m	31,270.03m
Cash and short-term investments		9,992.00m	10,029.00m	12,052.00m	13,092.00m	15,258.00m	13,558.00m	11,272.00m	10,517.00m	11,223.00m	3,279.00m
Total assets		112,362.00m	89,997.00m	94,408.00m	92,921.00m	92,663.00m	88,896.00m	79,986.00m	68,565.00m	62,053.00m	53,779.00m
Total debt		11,117.00m	9,952.00m	9,964.00m	9,070.00m	9,635.00m	10,409.00m	12,371.00m	12,421.00m	12,924.00m	7,512.00m
Shareholders Equity		1,656.00m	817.00m	6,335.00m	8,665.00m	14,875.00m	5,867.00m	3,515.00m	2,766.00m	2,128.00m	(1,294.00m)
Working Capital		10,546.00m	12,354.00m	17,822.00m	19,534.00m	13,588.00m	12,327.00m	8,536.00m	5,177.00m	2,392.00m	(4,809.00m)
Income Quality		1.63	2.14	1.81	1.63	1.78	1.93	1.00	0.89	4.27	-0.15
Operating CF		13,344.00m	10,499.00m	9,363.00m	8,858.00m	8,179.00m	7,508.00m	4,023.00m	2,952.00m	5,603.00m	(401.00m)
Capital Expenditure		(1,647.00m)	(2,575.00m)	(2,408.00m)	(2,202.00m)	(2,047.00m)	(1,606.00m)	(1,619.00m)	(1,062.00m)	(1,159.00m)	(1,640.00m)
Depreciation & Amortization		2,069.00m	1,910.00m	1,833.00m	1,906.00m	1,844.00m	1,811.00m	1,675.00m	1,746.00m	1,666.00m	1,325.00m
Gross Margin		18.55%	14.57%	14.59%	15.44%	15.42%	15.95%	18.69%	19.38%	17.20%	17.33%
EBIT Margin		11.14%	6.21%	7.73%	8.23%	7.64%	7.77%	8.55%	7.80%	3.00%	6.92%
Profit Margin		8.80%	5.20%	5.40%	6.00%	5.30%	4.80%	5.80%	5.10%	1.90%	4.40%
P/E		26.35	23.41	19.23	17.40	22.64	14.63	14.35	14.53	29.10	11.53
P/S		1.88	1.02	1.01	1.02	1.18	0.70	0.83	0.74	0.58	0.51
P/B		164.64	47.15	15.29	10.69	6.90	9.69	9.27	17.31	18.48	0.00
ROA		8.60%	5.40%	5.30%	5.90%	5.00%	4.70%	5.40%	5.10%	2.20%	4.70%
ROE		4,098.50%	259.90%	76.00%	42.10%	47.30%	64.20%	88.70%	99.90%	849.20%	42.60%
ROIC		22.11%	12.10%	14.05%	14.43%	14.94%	12.40%	12.20%	13.20%	7.14%	12.25%
Sales per Share		156.81	153.23	143.46	127.31	115.27	108.34	92.48	87.66	93.97	83.11
FCF per Share		19.64	12.84	10.38	9.34	8.16	7.83	3.24	2.58	6.12	(2.78)
Book Value per Share		2.78	1.32	9.46	12.15	19.80	7.78	4.73	3.77	2.93	(1.77)
Dividend per Share		5.68	4.36	3.64	2.92	1.94	1.76	1.68	1.68	1.68	1.60
