		Sep '17	Sep '16	Sep '15	Sep '14	Sep '13	Sep '12	Sep '11	Sep '10	Sep '09	Sep '08
Revenue		6,392.20m	6,618.00m	7,948.70m	8,491.40m	7,985.00m	7,101.00m	7,140.00m	5,853.00m	4,194.09m	6,032.39m
Operating Income		2,264.30m	2,365.70m	3,027.60m	3,221.20m	2,921.30m	2,515.20m	2,659.80m	1,958.70m	1,202.59m	2,277.01m
Net Income		1,696.70m	1,726.70m	2,035.30m	2,384.30m	2,150.20m	1,931.40m	1,923.60m	1,445.70m	896.78m	1,588.21m
Weighted Average Shs Out		557.7m	576.1m	613.8m	625.3m	635.2m	637.8m	661.6m	675.3m	691.0m	702.8m
Weighted Average Shs Out (Dil.)	
EPS		3.01	2.94	3.29	3.79	3.37	2.99	2.89	2.12	1.29	2.23
Market Cap		24,984.20m	20,492.64m	22,870.86m	34,147.15m	32,109.46m	26,913.23m	21,092.18m	24,062.09m	23,171.00m	20,645.57m
Cash and short-term investments		—	—	—	—	—	—	7,112.12m	5,691.62m	4,686.30m	4,320.76m
Total assets		17,534.00m	16,098.80m	16,335.70m	16,357.10m	15,390.30m	14,751.50m	13,775.80m	10,708.09m	9,468.46m	9,176.52m
Total debt		1,097.60m	2,083.40m	2,155.30m	2,149.00m	2,295.10m	2,777.20m	2,168.50m	979.90m	121.16m	269.27m
Shareholders Equity		12,620.00m	11,935.80m	11,841.00m	11,584.10m	10,073.10m	9,201.30m	8,524.70m	7,726.99m	7,632.17m	7,074.36m
Working Capital		—	—	—	—	—	—	6,304.70m	5,356.15m	4,518.88m	3,913.74m
Income Quality		0.67	1.00	1.11	0.90	0.95	0.55	0.84	1.14	0.72	0.89
Operating CF		1,135.40m	1,727.70m	2,252.00m	2,138.00m	2,035.70m	1,066.20m	1,621.80m	1,651.00m	641.40m	1,409.24m
Capital Expenditure		(74.90m)	(97.60m)	(68.80m)	(53.10m)	(62.20m)	(78.40m)	(131.70m)	(57.40m)	(45.18m)	(63.50m)
Depreciation & Amortization		152.30m	162.30m	210.20m	222.40m	231.50m	212.00m	243.60m	267.40m	181.27m	215.22m
Gross Margin		100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
EBIT Margin		39.23%	38.06%	37.72%	40.39%	38.23%	38.46%	38.72%	35.55%	30.64%	37.34%
Profit Margin		26.50%	26.10%	25.60%	28.10%	26.90%	27.20%	26.90%	24.70%	21.40%	26.30%
P/E		14.55	12.10	11.33	14.41	15.00	14.58	11.03	16.81	25.99	13.19
P/S		3.91	3.10	2.88	4.02	4.02	3.78	2.95	4.11	5.52	3.42
P/B		2.01	1.72	1.93	2.95	3.19	3.08	2.47	3.11	3.04	2.92
ROA		9.90%	10.80%	12.40%	14.70%	14.40%	13.90%	14.80%	14.50%	9.80%	16.70%
ROE		13.80%	14.60%	17.20%	21.20%	22.50%	22.10%	22.80%	19.50%	12.30%	22.50%
ROIC		—	—	—	—	—	—	34.36%	30.48%	18.54%	36.91%
Sales per Share		11.46	11.49	12.95	13.58	12.57	11.13	10.79	8.67	6.07	8.58
FCF per Share		1.90	2.83	3.56	3.33	3.11	1.55	2.25	2.36	0.86	1.92
Book Value per Share		22.63	20.72	19.29	18.53	15.86	14.43	12.89	11.44	11.05	10.07
Dividend per Share		0.80	0.72	0.60	0.48	1.39	1.03	0.33	1.36	0.28	0.25
