		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		12,491.00m	11,155.00m	11,401.00m	11,081.00m	10,180.00m	9,337.00m	9,081.00m	8,612.00m	4,700.00m	5,064.00m
Operating Income		5,272.00m	4,570.00m	4,664.00m	4,474.00m	3,857.00m	3,524.00m	3,249.00m	2,998.00m	1,278.00m	1,593.00m
Net Income		4,970.00m	3,172.00m	3,345.00m	3,294.00m	2,932.00m	2,458.00m	2,337.00m	2,063.00m	875.00m	784.00m
Weighted Average Shs Out		162.2m	164.4m	166.4m	168.2m	170.2m	175.0m	184.3m	190.6m	136.7m	129.5m
Weighted Average Shs Out (Dil.)		164.4m	166.6m	169.0m	171.1m	173.8m	178.0m	187.1m	192.7m	139.5m	131.4m
EPS		30.65	19.29	20.10	19.58	17.23	14.03	12.56	10.67	6.24	5.86
Market Cap		82,696.11m	61,905.08m	55,842.74m	59,073.92m	52,879.01m	35,045.03m	24,071.25m	12,129.56m	11,854.14m	15,853.33m
Cash and short-term investments	
Total assets		220,241.00m	220,177.00m	225,261.00m	239,792.00m	219,873.00m	200,451.00m	179,896.00m	178,459.00m	178,124.00m	19,924.00m
Total debt		5,014.00m	4,915.00m	4,930.00m	8,311.00m	7,308.00m	8,189.00m	6,364.00m	4,637.00m	5,668.00m	1,142.00m
Shareholders Equity		31,798.00m	29,098.00m	28,503.00m	27,366.00m	26,460.00m	25,403.00m	25,048.00m	26,094.00m	24,329.00m	12,069.00m
Working Capital	
Income Quality		0.77	0.68	0.90	0.94	1.24	0.91	1.21	1.21	1.60	2.44
Operating CF		3,828.00m	2,154.00m	3,004.00m	3,087.00m	3,642.00m	2,240.00m	2,826.00m	2,488.00m	1,399.00m	1,916.00m
Capital Expenditure		(155.00m)	(119.00m)	(221.00m)	(66.00m)	(94.00m)	(150.00m)	(247.00m)	(131.00m)	(65.00m)	(77.00m)
Depreciation & Amortization		240.00m	263.00m	295.00m	334.00m	343.00m	350.00m	380.00m	412.00m	339.00m	366.00m
Gross Margin		88.69%	88.98%	89.26%	89.46%	89.57%	89.18%	88.66%	88.35%	85.70%	84.06%
EBIT Margin		43.59%	41.84%	42.09%	42.03%	40.91%	39.66%	36.44%	36.97%	28.04%	24.49%
Profit Margin		39.80%	28.40%	29.30%	29.70%	28.80%	26.30%	25.70%	24.00%	18.60%	15.50%
P/E		23.80	19.74	16.94	18.26	18.37	14.73	13.87	17.86	37.21	22.89
P/S		6.64	5.56	4.90	5.33	5.19	3.75	2.58	1.41	2.52	3.13
P/B		2.77	2.16	1.98	2.18	2.02	1.40	1.29	1.40	1.45	1.44
ROA		2.20%	1.40%	1.40%	1.40%	1.40%	1.30%	1.30%	1.20%	1.50%	3.70%
ROE		16.50%	11.00%	12.00%	12.20%	11.30%	9.80%	9.30%	8.20%	5.60%	6.80%
ROIC	
Sales per Share		77.03	67.84	68.52	65.87	59.82	53.37	49.28	45.19	34.39	39.09
FCF per Share		22.65	12.38	16.73	17.96	20.85	11.95	14.00	12.37	9.76	14.20
Book Value per Share		197.18	178.04	171.89	163.69	156.57	148.13	140.33	136.57	159.82	92.92
Dividend per Share		10.00	9.16	8.72	7.72	8.40	6.00	5.50	4.00	3.12	3.12
