		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		32,243.00m	31,469.00m	18,987.00m	19,171.00m	19,261.00m	17,936.00m	16,834.00m	16,006.00m	15,075.00m	13,632.00m
Operating Income		4,329.00m	5,555.00m	3,596.00m	3,767.00m	4,513.00m	3,226.00m	2,292.00m	3,862.00m	3,302.00m	1,797.00m
Net Income		3,861.00m	4,135.00m	2,834.00m	2,853.00m	3,758.00m	2,706.00m	1,540.00m	3,085.00m	2,549.00m	1,197.00m
Weighted Average Shs Out		464.2m	465.3m	324.2m	331.7m	340.1m	339.8m	336.8m	339.4m	336.4m	333.6m
Weighted Average Shs Out (Dil.)	
EPS		8.26	8.94	8.71	8.50	11.02	7.96	4.55	9.08	7.57	3.52
Market Cap		68,011.25m	61,446.30m	37,880.60m	38,110.01m	35,206.94m	27,116.70m	23,698.31m	21,127.02m	16,955.48m	17,653.16m
Cash and short-term investments	
Total assets		167,022.00m	159,786.00m	102,306.00m	98,248.00m	94,510.00m	92,545.00m	87,321.00m	83,355.00m	77,980.00m	72,057.00m
Total debt		14,285.00m	14,821.00m	11,100.00m	6,218.00m	6,017.00m	5,070.00m	4,920.00m	4,967.00m	3,628.00m	3,586.00m
Shareholders Equity		51,172.00m	48,275.00m	29,135.00m	29,587.00m	28,825.00m	27,531.00m	24,332.00m	22,974.00m	19,667.00m	14,446.00m
Working Capital	
Income Quality		1.17	1.28	1.36	1.58	1.07	1.48	2.25	1.15	1.31	3.43
Operating CF		4,503.00m	5,292.00m	3,864.00m	4,496.00m	4,022.00m	3,995.00m	3,470.00m	3,546.00m	3,335.00m	4,101.00m
Capital Expenditure		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Depreciation & Amortization		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Gross Margin		40.67%	47.12%	47.19%	46.97%	48.79%	43.28%	41.07%	50.42%	48.61%	41.30%
EBIT Margin		13.43%	17.65%	18.94%	19.65%	23.43%	17.99%	13.62%	24.13%	21.90%	13.18%
Profit Margin		12.00%	13.10%	14.90%	14.90%	19.50%	15.10%	9.10%	19.30%	16.90%	8.80%
P/E		17.33	17.52	13.42	13.52	9.39	10.03	13.36	6.86	6.66	15.03
P/S		2.10	2.20	2.00	1.99	1.83	1.51	1.41	1.32	1.12	1.30
P/B		1.35	1.27	1.30	1.29	1.22	0.99	1.00	0.92	0.86	1.22
ROA		2.30%	2.60%	2.80%	2.90%	4.00%	3.00%	1.80%	3.80%	3.30%	1.60%
ROE		7.70%	8.70%	9.60%	9.60%	13.40%	10.20%	6.40%	14.00%	14.60%	7.60%
ROIC	
Sales per Share		69.46	67.63	58.57	57.79	56.64	52.78	49.98	47.16	44.81	40.87
FCF per Share		9.70	11.37	11.92	13.55	11.83	11.76	10.30	10.45	9.91	12.29
Book Value per Share		110.23	103.74	89.87	89.19	84.76	81.02	72.24	67.69	58.46	43.31
Dividend per Share		2.82	2.74	4.94	5.84	3.27	4.05	2.59	2.78	2.86	2.40
