		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		1,854.66m	1,741.30m	1,629.84m	1,495.82m	1,394.11m	1,342.70m	1,246.99m	1,097.87m	924.42m	808.49m
Operating Income		923.92m	852.27m	839.72m	801.05m	760.91m	746.54m	642.17m	535.01m	415.02m	356.50m
Net Income		802.92m	724.85m	685.87m	659.57m	652.80m	620.00m	543.97m	452.83m	357.52m	323.97m
Weighted Average Shs Out		166.0m	174.9m	183.8m	192.3m	199.0m	205.9m	208.4m	209.1m	210.0m	218.6m
Weighted Average Shs Out (Dil.)	
EPS		4.93	4.26	3.83	3.50	3.34	3.04	2.63	2.18	1.71	1.51
Market Cap	
Cash and short-term investments		1,410.73m	1,372.93m	1,284.23m	1,312.46m	1,166.81m	1,503.34m	1,359.54m	1,089.50m	884.00m	914.39m
Total assets		5,462.93m	5,217.64m	5,069.88m	4,948.82m	4,886.44m	4,544.89m	4,128.06m	3,605.30m	3,069.59m	2,593.62m
Total debt		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Shareholders Equity		3,600.12m	3,491.12m	3,531.87m	3,637.56m	3,602.10m	3,346.31m	3,073.09m	2,719.33m	2,319.72m	2,015.87m
Working Capital		757.51m	726.60m	678.98m	780.83m	617.52m	1,061.14m	1,007.53m	753.67m	648.94m	791.98m
Income Quality		1.38	1.31	1.38	1.19	1.24	1.37	1.37	1.52	1.56	1.34
Operating CF		1,109.61m	949.27m	949.50m	785.88m	811.29m	849.54m	742.96m	688.58m	557.11m	434.03m
Capital Expenditure		(28.78m)	(24.05m)	(17.35m)	(12.74m)	(9.56m)	(8.19m)	(7.19m)	(4.91m)	(4.28m)	(8.30m)
Depreciation & Amortization		16.64m	14.74m	13.97m	11.28m	11.57m	14.89m	51.55m	58.77m	59.54m	45.63m
Gross Margin		88.52%	88.40%	88.40%	88.20%	88.33%	88.15%	85.91%	85.06%	85.58%	88.55%
EBIT Margin		52.35%	51.49%	53.61%	55.48%	57.09%	58.60%	54.79%	51.41%	48.22%	47.76%
Profit Margin		43.30%	41.60%	42.10%	44.10%	46.80%	46.20%	43.60%	41.20%	38.70%	40.10%
P/E		24.32	22.05	21.25	22.45	19.31	15.67	24.10	21.22	19.81	12.58
P/S		10.41	9.52	9.18	10.10	9.21	7.31	10.01	8.81	7.70	5.13
P/B	
ROA		15.00%	14.10%	13.70%	13.40%	13.80%	14.30%	14.10%	13.60%	12.60%	13.10%
ROE		22.60%	20.60%	19.10%	18.20%	18.80%	19.30%	18.80%	18.00%	16.50%	16.70%
ROIC		20.30%	19.88%	19.23%	18.52%	17.38%	21.41%	20.01%	18.05%	15.89%	17.45%
Sales per Share		11.17	9.96	8.87	7.78	7.01	6.52	5.98	5.25	4.40	3.70
FCF per Share		6.51	5.29	5.07	4.02	4.03	4.09	3.53	3.27	2.63	1.95
Book Value per Share		21.69	19.96	19.22	18.92	18.10	16.25	14.75	13.01	11.04	9.22
Dividend per Share		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
