		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		3,362.20m	3,144.90m	2,663.60m	2,436.40m	2,303.90m	2,073.00m	1,893.20m	1,859.50m	1,716.00m	1,813.60m
Operating Income		824.60m	817.90m	693.90m	638.20m	611.20m	480.00m	468.60m	430.00m	381.80m	439.00m
Net Income		587.30m	488.80m	429.10m	367.40m	351.80m	272.10m	232.90m	266.70m	233.90m	272.80m
Weighted Average Shs Out		120.1m	119.3m	118.7m	121.2m	121.2m	119.9m	121.9m	124.8m	126.3m	128.1m
Weighted Average Shs Out (Dil.)		121.5m	121.1m	120.9m	123.5m	123.7m	122.5m	123.7m	126.5m	127.9m	130.4m
EPS		4.89	4.10	3.61	3.03	2.90	2.27	1.91	2.14	1.85	2.13
Market Cap		14,194.33m	14,109.02m	13,194.63m	9,751.83m	8,407.25m	6,472.65m	4,742.17m	4,393.10m	3,906.70m	3,349.69m
Cash and short-term investments		336.40m	129.30m	93.30m	128.30m	235.90m	146.80m	127.70m	119.40m	103.10m	58.20m
Total assets		7,233.40m	6,664.00m	4,501.50m	4,661.00m	4,539.90m	4,520.10m	3,518.70m	3,437.50m	3,550.50m	3,260.30m
Total debt		2,704.30m	2,672.20m	1,187.70m	1,526.10m	1,442.00m	1,730.70m	1,013.20m	999.60m	1,174.10m	1,219.30m
Shareholders Equity		3,174.40m	2,662.70m	2,310.90m	2,200.10m	2,300.70m	1,933.20m	1,702.40m	1,691.40m	1,601.20m	1,312.40m
Working Capital		(675.10m)	(586.70m)	(42.20m)	(232.60m)	(14.10m)	(107.80m)	92.00m	113.60m	(75.40m)	35.80m
Income Quality		1.39	1.68	1.79	1.68	1.62	1.82	1.75	1.32	1.79	1.64
Operating CF		816.00m	823.00m	769.10m	616.20m	569.00m	496.30m	408.70m	352.60m	418.40m	448.10m
Capital Expenditure		(218.20m)	(173.50m)	(146.20m)	(86.40m)	(83.30m)	(66.00m)	(75.00m)	(99.80m)	(70.70m)	(110.50m)
Depreciation & Amortization		290.90m	268.70m	200.00m	204.20m	190.30m	163.40m	164.90m	167.80m	158.80m	155.40m
Gross Margin		63.99%	64.60%	66.68%	65.33%	65.83%	63.36%	62.82%	59.13%	58.11%	59.10%
EBIT Margin		24.65%	25.88%	26.08%	26.11%	26.52%	23.32%	24.04%	24.45%	23.16%	25.53%
Profit Margin		17.50%	15.50%	16.10%	15.10%	15.30%	13.10%	12.30%	14.30%	13.60%	15.00%
P/E		26.32	29.56	30.85	26.69	23.82	23.84	21.52	16.64	16.70	12.45
P/S		4.27	4.69	4.95	4.00	3.65	3.12	2.45	2.36	2.28	1.85
P/B		4.57	5.14	5.72	4.46	3.64	3.36	2.67	2.63	2.44	2.59
ROA		8.30%	7.30%	9.40%	7.80%	8.00%	7.20%	6.70%	7.70%	6.90%	7.90%
ROE		19.30%	18.70%	19.40%	15.80%	16.40%	14.70%	13.30%	15.90%	15.60%	19.20%
ROIC		8.42%	8.81%	11.37%	9.84%	9.80%	7.53%	9.59%	8.95%	7.64%	9.45%
Sales per Share		28.00	26.36	22.44	20.10	19.01	17.29	15.53	14.90	13.59	14.16
FCF per Share		4.98	5.44	5.25	4.37	4.01	3.59	2.74	2.03	2.75	2.64
Book Value per Share		26.43	22.32	19.47	18.15	18.98	16.12	13.97	13.55	12.68	10.25
Dividend per Share		1.56	1.32	1.16	1.00	1.10	0.90	0.64	0.28	0.16	0.16
