		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		26,107.00m	30,390.00m	32,639.00m	24,890.00m	11,202.00m	9,702.00m	8,385.39m	7,949.42m	7,011.38m	5,335.75m
Operating Income		14,124.00m	17,633.00m	22,193.00m	15,265.00m	4,524.00m	4,010.00m	3,789.84m	3,962.22m	3,529.22m	2,678.54m
Net Income		4,628.00m	13,501.00m	18,108.00m	12,101.00m	3,075.00m	2,592.00m	2,803.64m	2,901.26m	2,635.76m	1,978.90m
Weighted Average Shs Out		1.3b	1.3b	1.5b	1.5b	1.5b	1.5b	1.5b	1.7b	1.8b	1.8b
Weighted Average Shs Out (Dil.)		1.3b	1.4b	1.5b	1.6b	1.7b	1.6b	1.6b	1.7b	1.9b	1.9b
EPS		3.54	10.08	12.37	7.95	2.01	1.71	1.81	1.69	1.46	1.08
Market Cap		93,556.55m	94,500.74m	145,833.02m	142,206.70m	115,154.52m	55,649.26m	31,575.66m	29,422.08m	38,939.76m	46,563.47m
Cash and short-term investments		25,510.00m	11,895.00m	14,607.00m	10,128.00m	2,132.00m	1,862.25m	9,900.27m	2,098.67m	1,656.98m	1,790.06m
Total assets		70,283.00m	56,977.00m	51,716.00m	34,664.00m	22,579.00m	21,239.84m	17,303.13m	11,592.63m	9,698.56m	6,936.83m
Total debt		33,542.00m	26,346.00m	22,055.00m	12,404.00m	6,636.00m	8,224.05m	7,607.31m	3,484.92m	1,161.03m	1,103.66m
Shareholders Equity		20,442.00m	18,887.00m	18,534.00m	15,426.00m	11,370.00m	9,302.59m	6,738.86m	5,863.73m	6,367.07m	4,272.57m
Working Capital		20,188.00m	10,370.00m	14,872.00m	11,953.00m	590.00m	1,918.45m	11,404.00m	3,243.13m	2,940.93m	3,057.42m
Income Quality		2.57	1.26	1.17	1.06	1.01	1.23	1.30	0.98	1.17	1.08
Operating CF		11,898.00m	17,047.00m	21,250.00m	12,818.00m	3,105.00m	3,195.00m	3,639.01m	2,833.91m	3,080.05m	2,143.38m
Capital Expenditure		(590.00m)	(748.00m)	(747.00m)	(557.00m)	(190.00m)	(397.00m)	(131.90m)	(61.88m)	(230.06m)	(115.00m)
Depreciation & Amortization		1,286.00m	1,158.00m	1,098.00m	1,050.00m	345.00m	278.00m	302.23m	265.48m	212.94m	155.61m
Gross Margin		83.26%	85.98%	87.73%	84.78%	74.48%	74.53%	74.67%	76.48%	77.24%	78.87%
EBIT Margin		56.04%	59.47%	68.47%	61.51%	40.47%	41.14%	46.16%	50.75%	51.09%	51.47%
Profit Margin		17.70%	44.40%	55.50%	48.60%	27.50%	26.70%	33.40%	36.50%	37.60%	37.10%
P/E		8.09	6.52	8.18	11.86	37.36	21.48	11.66	10.72	14.87	23.79
P/S		3.40	2.99	4.47	5.71	10.28	5.74	3.86	3.70	5.55	8.73
P/B		3.77	5.61	7.83	9.19	10.14	5.99	5.13	5.00	6.11	10.91
ROA		7.30%	25.60%	40.30%	39.40%	13.70%	12.50%	20.20%	26.20%	30.50%	30.10%
ROE		20.90%	83.50%	104.30%	82.80%	28.30%	31.20%	45.10%	45.60%	47.90%	50.90%
ROIC		24.64%	31.14%	50.22%	50.57%	17.28%	15.60%	49.75%	33.39%	36.53%	44.78%
Sales per Share		19.98	22.70	22.29	16.35	7.33	6.40	5.41	4.64	3.88	2.90
FCF per Share		8.65	12.17	14.01	8.06	1.91	1.85	2.26	1.62	1.58	1.10
Book Value per Share		15.64	14.36	12.93	10.26	7.41	6.13	4.57	3.63	3.54	2.35
Dividend per Share		2.08	1.84	1.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00
