Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		10,116.00m	9,390.00m	9,111.00m	9,715.00m	7,819.00m	8,012.00m	7,890.00m	6,632.00m	5,395.00m	5,948.00m
Operating Income		1,527.00m	1,307.00m	1,226.00m	1,956.00m	1,416.00m	1,179.00m	1,712.00m	1,801.00m	391.00m	1,498.00m
Net Income		(497.00m)	3,695.00m	1,339.00m	2,472.00m	1,961.00m	1,636.00m	2,817.00m	3,558.00m	2,008.00m	5,257.00m
Weighted Average Shs Out		869.1m	951.2m	1.2b	1.3b	1.4b	1.5b	1.6b	1.6b	1.6b	1.6b
Weighted Average Shs Out (Dil.)	
EPS		(0.66)	3.53	1.02	1.82	1.35	1.10	1.80	2.28	1.30	3.37
Market Cap		28,892.84m	25,165.01m	21,624.96m	29,392.78m	25,789.14m	18,650.36m	20,393.17m	30,194.82m	30,048.17m	14,812.74m
Cash and short-term investments		4,317.00m	5,291.00m	4,600.00m	6,068.00m	5,235.00m	6,144.00m	5,825.00m	6,350.00m	3,583.00m	2,816.00m
Total assets		27,494.00m	27,899.00m	28,527.00m	30,063.00m	28,478.00m	29,375.00m	27,848.00m	25,833.00m	21,295.00m	19,256.00m
Total debt		5,128.00m	3,902.00m	4,462.00m	3,263.00m	3,293.00m	3,458.00m	2,391.00m	2,319.00m	2,004.00m	1,605.00m
Shareholders Equity		15,698.00m	17,893.00m	18,788.00m	21,579.00m	21,162.00m	21,486.00m	21,078.00m	19,375.00m	15,543.00m	13,443.00m
Working Capital		5,618.00m	6,297.00m	5,455.00m	7,914.00m	7,145.00m	7,739.00m	6,580.00m	6,873.00m	3,982.00m	2,567.00m
Income Quality		-4.03	0.69	2.11	1.90	1.42	1.96	1.13	1.08	1.03	0.40
Operating CF		2,004.00m	2,537.00m	2,829.00m	4,709.00m	2,787.00m	3,206.00m	3,189.00m	3,835.00m	2,077.00m	2,128.00m
Capital Expenditure		(1,804.00m)	(1,130.00m)	(1,250.00m)	(1,076.00m)	(1,019.00m)	(1,801.00m)	(2,432.00m)	(1,007.00m)	(890.00m)	(1,921.00m)
Depreciation & Amortization		1,158.00m	1,195.00m	1,184.00m	1,200.00m	1,002.00m	997.00m	957.00m	854.00m	792.00m	695.00m
Gross Margin		39.86%	39.89%	40.09%	41.71%	42.51%	41.43%	45.32%	45.97%	38.80%	46.03%
EBIT Margin		17.91%	41.01%	17.85%	37.99%	33.16%	26.04%	42.08%	59.62%	37.37%	49.45%
Profit Margin		-4.90%	39.40%	14.70%	25.40%	25.10%	20.40%	35.70%	53.60%	37.20%	88.40%
P/E		12.75	11.29	17.92	12.60	13.20	11.47	6.04	8.47	14.85	2.83
P/S		2.90	2.75	2.37	3.03	3.30	2.33	2.63	4.55	5.57	2.49
P/B		1.67	1.42	1.15	1.36	1.22	0.87	0.94	1.56	1.93	1.10
ROA		-1.80%	12.80%	4.60%	8.30%	6.90%	5.60%	10.20%	15.00%	10.10%	28.50%
ROE		-2.90%	20.20%	6.60%	11.40%	9.20%	7.60%	13.40%	20.00%	14.10%	41.00%
ROIC		4.71%	4.08%	3.55%	5.65%	4.12%	3.46%	5.38%	6.43%	1.51%	6.49%
Sales per Share		11.64	9.87	7.70	7.58	5.40	5.42	5.02	4.24	3.47	3.83
FCF per Share		0.23	1.48	1.34	2.83	1.22	0.95	0.48	1.81	0.76	0.13
Book Value per Share		18.06	18.81	15.88	16.83	14.62	14.54	13.41	12.40	9.99	8.65
Dividend per Share		0.62	0.54	0.48	0.40	0.39	0.32	0.23	0.20	0.20	0.20
