		Mar '18	Mar '17	Mar '16	Mar '15	Mar '14	Mar '13	Mar '12	Mar '11	Mar '10	Mar '09
Revenue		134,365.02m	126,353.41m	130,023.79m	111,150.85m	121,555.26m	104,861.43m	95,801.73m	107,815.99m	91,812.83m	101,737.15m
Operating Income		7,291.19m	7,588.06m	4,482.58m	5,592.55m	8,007.70m	5,783.55m	2,788.73m	6,873.87m	3,893.06m	1,927.21m
Net Income		9,266.09m	5,565.00m	3,068.06m	4,248.48m	6,071.92m	3,897.55m	2,549.08m	6,443.33m	2,872.37m	1,392.28m
Weighted Average Shs Out		1.8b	1.8b	1.8b	1.8b	1.8b	1.8b	1.8b	1.8b	1.8b	1.8b
Weighted Average Shs Out (Dil.)	
EPS		5.17	3.09	1.70	2.36	3.37	2.16	1.41	3.57	1.58	0.77
Market Cap	
Cash and short-term investments		21,602.33m	20,356.73m	16,567.74m	13,046.77m	12,592.86m	14,376.17m	15,031.98m	15,430.38m	11,985.00m	7,015.73m
Total assets		169,248.49m	171,111.46m	162,332.53m	153,663.89m	155,985.75m	150,291.65m	142,080.89m	139,593.12m	124,452.76m	120,107.28m
Total debt		61,005.74m	62,964.99m	59,341.49m	57,799.19m	58,302.90m	53,863.06m	49,554.55m	49,468.39m	43,895.41m	46,919.09m
Shareholders Equity		69,395.21m	65,845.59m	60,210.81m	59,283.02m	61,579.39m	58,739.21m	52,941.35m	53,685.31m	46,324.35m	40,723.23m
Working Capital		11,381.59m	10,168.65m	6,868.23m	8,298.61m	7,750.07m	10,082.03m	13,973.86m	13,534.26m	12,784.34m	3,900.39m
Income Quality		0.93	1.44	4.04	2.00	0.72	2.18	3.60	2.05	5.75	2.80
Operating CF		8,639.23m	7,988.46m	12,386.86m	8,509.75m	4,365.19m	8,500.47m	9,179.14m	13,229.74m	16,525.89m	3,898.67m
Capital Expenditure		(3,503.39m)	(4,291.04m)	(5,428.15m)	(5,128.53m)	(6,792.55m)	(6,185.74m)	(4,507.47m)	(3,544.67m)	(3,933.88m)	(6,263.50m)
Depreciation & Amortization		6,237.47m	6,086.33m	5,883.68m	5,214.15m	5,716.46m	6,268.25m	6,688.05m	7,110.81m	6,738.66m	6,479.92m
Gross Margin		21.88%	22.38%	22.39%	22.49%	23.31%	25.64%	25.52%	27.30%	25.23%	25.89%
EBIT Margin		6.89%	6.83%	4.05%	5.80%	7.24%	5.65%	4.50%	8.39%	4.99%	2.69%
Profit Margin		6.90%	4.40%	2.40%	3.80%	5.00%	3.70%	2.70%	6.00%	3.10%	1.40%
P/E		11.25	9.80	16.06	13.90	10.49	27.06	10.77	10.52	22.29	30.90
P/S		0.50	0.43	0.38	0.53	0.52	0.72	0.65	0.63	0.70	0.42
P/B	
ROA		5.50%	3.30%	1.90%	3.00%	4.10%	2.80%	1.80%	4.60%	2.30%	1.10%
ROE		13.90%	8.80%	5.00%	7.60%	10.50%	7.40%	4.80%	12.20%	6.40%	3.20%
ROIC		3.72%	3.78%	2.33%	2.95%	4.13%	3.17%	1.66%	4.12%	2.60%	1.25%
Sales per Share		0.65	0.63	0.64	0.51	0.66	0.62	0.64	0.72	0.54	0.57
FCF per Share		2.85	2.05	3.86	1.88	(1.35)	1.28	2.59	5.34	6.94	(1.30)
Book Value per Share		38.50	36.53	33.41	32.89	34.17	32.59	29.37	29.59	25.53	22.44
Dividend per Share		0.92	0.76	0.52	0.66	0.72	0.80	0.69	0.60	0.39	0.39
