		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		3,311.49m	2,444.54m	2,163.06m	2,021.44m	1,784.21m	1,615.81m	1,468.59m	1,288.45m	1,139.80m	1,279.07m
Operating Income		(6.33m)	305.14m	288.00m	286.16m	275.49m	245.71m	214.06m	149.27m	134.48m	164.37m
Net Income		3.28m	193.58m	175.64m	183.77m	182.80m	165.90m	136.90m	96.29m	82.96m	103.87m
Weighted Average Shs Out		88.5m	82.6m	83.9m	89.3m	93.0m	93.4m	96.0m	95.7m	94.7m	95.2m
Weighted Average Shs Out (Dil.)		89.8m	83.8m	85.1m	90.7m	94.8m	95.8m	98.8m	99.8m	97.5m	99.0m
EPS		0.04	2.34	2.09	2.06	1.97	1.78	1.43	1.01	0.88	1.09
Market Cap		11,157.06m	8,350.58m	7,515.10m	7,412.81m	6,549.21m	4,310.00m	3,356.29m	3,191.11m	1,723.77m	1,677.19m
Cash and short-term investments		538.91m	474.23m	372.98m	365.30m	423.99m	299.85m	142.74m	120.18m	116.57m	140.93m
Total assets		7,283.17m	2,367.34m	2,168.52m	1,904.35m	1,783.58m	1,621.28m	1,379.87m	1,285.66m	1,215.28m	1,093.07m
Total debt		3,278.85m	694.39m	818.83m	405.00m	205.00m	205.00m	200.00m	220.16m	329.00m	416.25m
Shareholders Equity		983.47m	60.88m	(132.40m)	161.17m	361.32m	306.67m	181.78m	187.06m	112.54m	(21.32m)
Working Capital		(233.98m)	(117.05m)	(182.49m)	(118.56m)	(75.04m)	(142.53m)	(215.35m)	(190.05m)	(340.35m)	(237.88m)
Income Quality		77.62	1.89	1.97	1.89	1.73	1.69	1.87	2.13	1.95	1.77
Operating CF		254.52m	365.63m	345.56m	346.78m	315.65m	279.81m	255.57m	205.50m	161.94m	184.35m
Capital Expenditure		(110.76m)	(49.86m)	(46.13m)	(38.49m)	(36.50m)	(44.34m)	(41.95m)	(21.69m)	(15.14m)	(24.30m)
Depreciation & Amortization		240.17m	61.97m	47.13m	39.41m	34.44m	29.77m	32.06m	35.87m	27.02m	27.50m
Gross Margin		60.13%	61.32%	61.21%	60.53%	60.01%	59.21%	58.55%	57.14%	56.28%	55.26%
EBIT Margin		0.00%	12.93%	13.63%	14.20%	15.52%	15.19%	14.53%	11.71%	11.62%	13.59%
Profit Margin		0.10%	7.90%	8.10%	9.10%	10.20%	10.30%	9.30%	7.50%	7.30%	8.10%
P/E		0.00	43.19	43.40	40.88	36.07	25.85	25.95	32.87	20.50	16.36
P/S		3.72	3.50	3.47	3.67	3.67	2.67	2.36	2.48	1.51	1.31
P/B		12.93	0.00	0.00	45.79	18.13	14.03	17.21	17.02	15.31	0.00
ROA		0.10%	8.50%	8.90%	10.20%	11.10%	11.40%	10.40%	7.90%	8.00%	9.40%
ROE		0.50%	-672.60%	-116.80%	98.30%	54.90%	69.50%	68.30%	68.30%	145.60%	-435.10%
ROIC		-0.09%	41.20%	35.50%	52.02%	64.15%	44.98%	36.55%	23.65%	20.73%	30.44%
Sales per Share		37.43	29.61	25.80	22.63	19.18	17.29	15.30	13.46	12.04	13.43
FCF per Share		1.63	3.82	3.57	3.45	3.00	2.52	2.23	1.92	1.55	1.68
Book Value per Share		10.79	0.74	(1.60)	1.84	3.92	3.28	1.92	1.95	1.18	(0.23)
Dividend per Share		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
