		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		1,618.69m	1,487.97m	1,324.80m	1,172.88m	872.42m	585.98m	272.28m	173.78m	128.45m	67.51m
Operating Income		528.84m	591.65m	508.22m	195.59m	340.31m	197.84m	127.83m	57.79m	15.93m	(170.36m)
Net Income		487.85m	396.83m	329.54m	58.39m	216.31m	288.59m	124.98m	32.78m	(6.84m)	(184.34m)
Weighted Average Shs Out		60.0m	60.5m	61.2m	59.7m	58.3m	56.6m	41.5m	36.3m	30.0m	25.6m
Weighted Average Shs Out (Dil.)		61.3m	61.9m	63.0m	62.6m	61.6m	60.2m	46.8m	39.4m	30.0m	25.6m
EPS		8.13	6.56	5.38	0.98	3.71	5.09	3.01	0.90	(0.23)	(7.19)
Market Cap		8,087.75m	6,599.82m	8,644.12m	9,904.30m	7,313.87m	3,082.55m	1,612.39m	765.92m	244.22m	55.54m
Cash and short-term investments		601.04m	425.96m	988.79m	684.04m	636.50m	387.20m	157.90m	45.19m	18.58m	27.82m
Total assets		5,123.67m	4,800.23m	3,332.61m	3,338.96m	2,238.22m	1,966.49m	253.57m	135.73m	107.40m	117.50m
Total debt		1,581.04m	2,029.63m	1,188.44m	1,342.43m	549.98m	456.76m	0.00	48.04m	124.27m	122.41m
Shareholders Equity		2,713.10m	1,877.34m	1,598.65m	1,371.14m	1,295.53m	1,121.29m	192.79m	30.55m	(72.83m)	(92.88m)
Working Capital		674.33m	490.66m	1,031.03m	799.04m	660.59m	360.03m	146.26m	14.52m	(22.29m)	(129.49m)
Income Quality		1.42	1.49	1.61	6.98	1.33	0.87	1.21	1.80	2.32	0.71
Operating CF		693.09m	592.39m	531.94m	407.61m	288.43m	249.75m	151.60m	58.87m	(15.88m)	(130.23m)
Capital Expenditure		(28.95m)	(9.69m)	(35.96m)	(36.35m)	(9.98m)	(5.98m)	(1.28m)	(0.73m)	(0.05m)	(1.74m)
Depreciation & Amortization		165.15m	113.78m	108.06m	133.68m	82.09m	74.23m	7.83m	8.71m	9.10m	15.03m
Gross Margin		93.19%	92.92%	92.26%	89.99%	88.29%	86.62%	94.88%	92.20%	92.50%	79.38%
EBIT Margin		31.99%	39.92%	37.20%	17.51%	38.38%	37.83%	46.49%	26.18%	12.43%	-243.80%
Profit Margin		30.10%	26.70%	24.90%	5.00%	24.80%	49.20%	45.90%	18.90%	-5.30%	-273.00%
P/E		21.72	18.29	26.13	167.07	34.11	10.46	13.90	21.87	0.00	0.00
P/S		5.12	4.61	6.52	8.44	8.38	5.26	6.66	4.41	1.90	0.82
P/B		3.28	3.84	5.41	7.24	5.65	2.75	11.49	25.44	0.00	0.00
ROA		9.90%	9.50%	9.80%	1.80%	10.10%	18.40%	61.80%	29.30%	-6.40%	-102.00%
ROE		20.80%	23.00%	22.30%	4.50%	17.70%	31.90%	100.80%	-236.00%	8.10%	478.10%
ROIC		7.74%	8.90%	14.74%	4.99%	15.16%	8.72%	186.65%	66.87%	15.87%	-275.88%
Sales per Share		26.97	24.60	21.64	19.63	14.97	10.35	6.56	4.78	4.28	2.63
FCF per Share		11.07	9.63	8.10	6.21	4.78	4.30	3.62	1.60	(0.53)	(5.15)
Book Value per Share		45.23	31.33	26.00	22.62	22.38	19.34	4.55	0.77	(2.34)	(3.33)
Dividend per Share		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
