		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		2,582.90m	2,334.20m	2,418.80m	2,577.10m	2,369.30m	2,238.60m	2,098.30m	1,814.80m	1,480.20m	1,852.10m
Operating Income		921.60m	818.50m	803.80m	809.10m	738.60m	715.90m	611.60m	486.50m	266.80m	387.40m
Net Income		962.00m	478.10m	483.50m	502.60m	351.40m	377.30m	330.30m	180.20m	67.10m	181.80m
Weighted Average Shs Out		104.7m	107.6m	109.7m	110.2m	110.0m	109.7m	108.2m	100.1m	93.1m	83.7m
Weighted Average Shs Out (Dil.)		105.0m	107.8m	109.9m	110.4m	110.3m	110.1m	109.8m	107.5m	93.6m	98.6m
EPS		9.18	4.44	4.41	4.56	3.19	3.44	3.04	1.69	0.60	1.99
Market Cap		11,092.42m	9,162.40m	8,149.22m	13,467.27m	13,647.21m	9,186.50m	7,468.65m	4,910.95m	3,195.98m	1,739.13m
Cash and short-term investments		134.10m	170.60m	136.60m	348.00m	429.50m	72.60m	72.40m	85.40m	117.50m	229.90m
Total assets		9,198.70m	8,817.50m	8,341.00m	7,976.40m	7,435.40m	6,395.90m	6,145.10m	5,640.90m	5,454.30m	5,439.20m
Total debt		2,619.40m	2,478.20m	2,401.10m	2,301.40m	2,188.90m	1,607.80m	1,639.10m	1,639.70m	1,980.00m	2,086.10m
Shareholders Equity		4,548.90m	4,089.90m	3,914.30m	3,755.50m	3,370.60m	3,096.60m	2,764.50m	2,431.10m	2,043.00m	1,911.50m
Working Capital		(291.60m)	(96.40m)	(220.60m)	(180.60m)	211.80m	97.50m	205.10m	155.10m	203.00m	(407.20m)
Income Quality		1.07	1.92	1.88	1.80	2.27	1.79	1.94	2.93	5.18	2.46
Operating CF		1,028.40m	919.00m	909.20m	906.00m	798.30m	673.20m	638.00m	496.30m	290.50m	409.40m
Capital Expenditure		(619.20m)	(585.20m)	(827.60m)	(970.30m)	(798.40m)	(525.30m)	(485.00m)	(279.00m)	(332.90m)	(509.30m)
Depreciation & Amortization		320.90m	305.00m	284.60m	258.10m	223.30m	198.80m	186.20m	184.90m	181.60m	167.80m
Gross Margin		65.52%	65.25%	63.68%	61.31%	59.24%	58.17%	57.00%	57.35%	52.50%	49.95%
EBIT Margin		37.66%	32.50%	31.12%	30.43%	26.60%	31.93%	27.76%	24.66%	18.57%	20.76%
Profit Margin		37.20%	20.50%	20.00%	19.50%	14.80%	16.80%	15.70%	9.30%	3.80%	9.00%
P/E		20.63	18.73	16.93	26.76	38.82	24.27	25.47	28.32	55.48	9.57
P/S		4.40	3.93	3.37	5.23	5.76	4.10	3.65	2.71	2.16	0.94
P/B		2.68	2.24	2.07	3.58	4.04	2.96	2.79	2.01	1.55	0.90
ROA		10.60%	5.50%	5.90%	6.50%	5.10%	5.90%	5.50%	3.00%	1.00%	3.20%
ROE		22.60%	11.90%	12.50%	14.00%	10.80%	12.70%	12.50%	7.30%	2.80%	9.00%
ROIC		7.06%	6.56%	6.71%	7.33%	7.33%	7.91%	7.11%	6.24%	3.54%	5.40%
Sales per Share		24.66	21.70	22.05	23.39	21.54	20.40	19.39	18.14	15.89	22.14
FCF per Share		3.91	3.10	0.74	(0.58)	0.00	1.35	1.41	2.17	(0.45)	(1.19)
Book Value per Share		44.16	38.28	36.07	34.07	30.64	28.20	25.23	23.79	21.46	21.28
Dividend per Share		1.38	1.32	1.32	1.12	0.86	0.78	0.00	0.00	0.00	0.00
