		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		4,204.10m	3,604.20m	3,484.50m	3,334.30m	2,972.50m	2,730.30m	2,280.70m	2,032.00m	1,797.20m	1,755.40m
Operating Income		1,809.10m	638.70m	1,473.40m	1,439.10m	1,234.60m	1,077.40m	888.40m	772.80m	687.50m	748.20m
Net Income		1,000.60m	266.60m	941.30m	988.70m	804.50m	690.00m	571.40m	507.80m	402.00m	457.60m
Weighted Average Shs Out		191.1m	192.7m	200.1m	210.7m	219.4m	223.2m	226.3m	235.0m	236.1m	242.4m
Weighted Average Shs Out (Dil.)		194.2m	195.4m	203.4m	214.7m	223.5m	226.6m	229.4m	236.6m	237.8m	245.3m
EPS		5.24	1.38	4.70	4.69	3.67	3.09	2.52	2.16	1.70	1.89
Market Cap		28,193.51m	18,128.12m	19,837.22m	19,985.97m	16,878.90m	11,216.33m	7,702.62m	6,215.67m	6,338.20m	4,817.58m
Cash and short-term investments		1,183.30m	2,224.90m	2,232.20m	1,677.60m	2,106.30m	1,773.30m	774.80m	672.30m	483.90m	253.00m
Total assets		8,594.20m	5,327.30m	5,103.00m	4,669.00m	4,395.10m	3,960.90m	2,876.10m	2,540.30m	2,003.30m	1,773.40m
Total debt		5,540.50m	3,363.00m	3,380.60m	2,547.30m	2,101.80m	1,671.20m	1,243.80m	1,239.60m	1,193.70m	1,467.70m
Shareholders Equity		(327.70m)	(1,225.00m)	(565.00m)	(187.80m)	337.00m	385.20m	(169.00m)	(309.60m)	(606.20m)	(994.40m)
Working Capital		517.30m	824.90m	2,024.60m	1,486.70m	1,827.50m	1,360.80m	290.40m	409.20m	(223.10m)	(584.00m)
Income Quality		0.75	4.72	1.27	1.03	1.15	1.19	1.41	1.29	1.60	1.18
Operating CF		747.50m	1,259.20m	1,198.10m	1,018.60m	926.80m	823.10m	803.30m	653.30m	643.80m	539.70m
Capital Expenditure		(90.60m)	(115.20m)	(89.00m)	(74.60m)	(42.30m)	(45.00m)	(67.70m)	(79.00m)	(90.70m)	(84.40m)
Depreciation & Amortization		158.30m	126.70m	113.50m	95.60m	93.40m	93.50m	79.20m	66.30m	64.10m	75.10m
Gross Margin		100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
EBIT Margin		46.81%	19.05%	42.66%	46.80%	42.04%	39.49%	39.26%	37.47%	37.53%	44.32%
Profit Margin		23.80%	7.40%	27.00%	29.70%	27.10%	25.30%	25.10%	25.00%	22.40%	26.10%
P/E		51.25	20.06	21.35	20.43	21.38	16.28	12.57	12.29	15.76	10.63
P/S		7.08	5.14	5.69	5.99	5.68	4.11	3.38	3.06	3.53	2.74
P/B		0.00	0.00	0.00	0.00	49.90	29.12	0.00	0.00	0.00	0.00
ROA		13.90%	5.20%	19.00%	21.00%	19.80%	20.30%	21.40%	23.00%	21.30%	27.20%
ROE		-173.70%	-35.90%	-216.40%	442.60%	211.30%	314.10%	-374.10%	-122.40%	-54.60%	-50.70%
ROIC		20.32%	51.41%	64.84%	57.62%	73.03%	67.15%	57.39%	51.70%	59.61%	55.89%
Sales per Share		22.00	18.70	17.41	15.83	13.55	12.23	10.08	8.65	7.61	7.24
FCF per Share		3.44	5.94	5.54	4.48	4.03	3.49	3.25	2.44	2.34	1.88
Book Value per Share		(1.71)	(6.42)	(2.87)	(0.91)	1.57	1.73	(0.76)	(1.33)	(2.56)	(4.21)
Dividend per Share		1.52	1.48	1.36	1.12	0.90	0.64	0.54	0.42	0.40	0.40
