		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		201.53m	248.94m	318.04m	397.00m	376.07m	339.06m	329.99m	255.47m	162.66m	145.62m
Operating Income		51.77m	89.21m	128.55m	134.49m	84.84m	84.14m	(58.78m)	114.94m	64.91m	65.52m
Net Income		3.59m	9.27m	13.21m	9.32m	2.66m	2.47m	(27.17m)	0.00	0.00	58.99m
Weighted Average Shs Out		14.2m	13.9m	13.7m	13.7m	13.6m	13.6m	12.9m	—	—	—
Weighted Average Shs Out (Dil.)		14.2m	14.2m	14.0m	13.9m	13.7m	13.6m	12.9m	—	—	—
EPS		0.25	0.63	0.91	0.68	0.20	0.18	(2.11)	—	—	—
Market Cap		54.29m	113.51m	125.45m	189.42m	240.66m	171.17m	—	—	—	—
Cash and short-term investments		148.67m	138.29m	140.16m	151.91m	146.57m	121.41m	85.85m	31.92m	—	—
Total assets		205.18m	220.60m	230.80m	257.47m	252.60m	218.18m	178.83m	68.34m	53.37m	—
Total debt		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20m	0.27m	—
Shareholders Equity		160.28m	162.91m	168.76m	168.33m	168.58m	164.86m	161.10m	(143.81m)	(83.35m)	—
Working Capital		124.70m	117.99m	121.99m	136.00m	137.72m	114.70m	80.10m	23.44m	—	—
Income Quality		15.73	9.67	9.74	18.68	63.49	61.91	-5.66	0.00	0.00	1.08
Operating CF		56.42m	89.70m	128.72m	174.04m	168.62m	152.85m	153.86m	119.97m	62.78m	63.68m
Capital Expenditure		(1.35m)	(0.31m)	(0.85m)	(3.69m)	(2.33m)	(2.28m)	(1.72m)	(1.14m)	(1.00m)	(2.08m)
Depreciation & Amortization		1.76m	2.48m	2.47m	2.32m	1.89m	1.69m	1.14m	1.42m	1.10m	1.07m
Gross Margin		100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
EBIT Margin		11.40%	7.41%	5.71%	5.54%	3.14%	3.15%	-7.62%	0.28%	0.30%	40.89%
Profit Margin		1.80%	3.70%	4.20%	2.30%	0.70%	0.70%	-8.20%	0.00%	0.00%	40.50%
P/E		7.35	11.27	9.33	20.32	88.25	70.00	—	—	—	—
P/S		0.25	0.44	0.39	0.48	0.64	0.50	—	—	—	—
P/B		0.31	0.63	0.69	1.13	1.43	1.04	—	—	—	—
ROA		1.70%	4.10%	6.10%	3.70%	1.10%	1.20%	-22.00%	0.00%	—	—
ROE		2.20%	5.60%	7.90%	5.60%	1.60%	1.50%	-314.10%	0.00%	—	—
ROIC		94.43%	87.99%	114.69%	143.22%	80.92%	60.14%	-30.33%	0.00%	—	—
Sales per Share		14.23	17.85	23.15	29.02	27.62	24.96	25.59	—	—	—
FCF per Share		3.89	6.41	9.31	12.45	12.21	11.09	11.80	—	—	—
Book Value per Share		11.25	11.60	12.28	12.28	12.36	12.14	12.49	—	—	—
Dividend per Share		0.40	0.64	0.64	0.72	0.64	0.48	0.00	0.00	0.00	0.00
