		Jun '18	Jun '17	Jun '16	Jun '15	Jun '14	Jun '13	Jun '12	Jun '11	Jun '10	Jun '09
Revenue		110,360.00m	96,571.00m	91,154.00m	93,580.00m	86,833.00m	77,849.00m	73,723.00m	69,943.00m	62,484.00m	58,437.00m
Operating Income		35,058.00m	29,025.00m	26,078.00m	18,161.00m	27,759.00m	26,764.00m	21,763.00m	27,161.00m	24,098.00m	20,363.00m
Net Income		16,571.00m	25,489.00m	20,539.00m	12,193.00m	22,074.00m	21,863.00m	16,978.00m	23,150.00m	18,760.00m	14,569.00m
Weighted Average Shs Out		7.7b	7.7b	7.9b	8.2b	8.3b	8.4b	8.4b	8.5b	8.8b	8.9b
Weighted Average Shs Out (Dil.)		7.8b	7.8b	8.0b	8.3b	8.4b	8.5b	8.5b	8.6b	8.9b	9.0b
EPS		2.15	3.29	2.59	1.49	2.66	2.61	2.02	2.73	2.13	1.63
Market Cap		759,276.57m	532,175.08m	402,220.09m	357,154.75m	344,459.18m	289,315.50m	256,673.70m	219,251.95m	201,655.94m	211,546.34m
Cash and short-term investments		133,768.00m	132,981.00m	113,240.00m	96,526.00m	85,709.00m	77,022.00m	63,040.00m	52,772.00m	36,788.00m	31,447.00m
Total assets		258,848.00m	250,312.00m	193,468.00m	174,472.00m	172,384.00m	142,431.00m	121,271.00m	108,704.00m	86,113.00m	77,888.00m
Total debt		81,808.00m	91,566.00m	53,461.00m	35,292.00m	22,645.00m	15,600.00m	11,944.00m	11,921.00m	5,939.00m	5,746.00m
Shareholders Equity		82,718.00m	87,711.00m	71,997.00m	80,083.00m	89,784.00m	78,944.00m	66,363.00m	57,083.00m	46,175.00m	39,558.00m
Working Capital		111,174.00m	106,951.00m	80,303.00m	73,150.00m	68,621.00m	64,049.00m	52,396.00m	46,144.00m	29,529.00m	22,246.00m
Income Quality		2.65	1.55	1.62	2.43	1.47	1.32	1.86	1.17	1.28	1.31
Operating CF		43,884.00m	39,507.00m	33,325.00m	29,668.00m	32,502.00m	28,833.00m	31,626.00m	26,994.00m	24,073.00m	19,037.00m
Capital Expenditure		(11,632.00m)	(8,129.00m)	(8,343.00m)	(5,944.00m)	(5,485.00m)	(4,257.00m)	(2,305.00m)	(2,355.00m)	(1,977.00m)	(3,119.00m)
Depreciation & Amortization		10,261.00m	8,778.00m	6,622.00m	5,957.00m	5,212.00m	3,755.00m	2,967.00m	2,766.00m	2,673.00m	2,562.00m
Gross Margin		65.25%	64.52%	64.04%	64.70%	68.82%	73.81%	76.22%	77.73%	80.16%	79.20%
EBIT Margin		33.05%	30.96%	28.13%	19.78%	32.04%	34.75%	30.20%	40.13%	40.03%	33.92%
Profit Margin		15.00%	26.40%	22.50%	13.00%	25.40%	28.10%	23.00%	33.10%	30.00%	24.90%
P/E		48.58	20.95	19.76	29.63	15.68	17.71	11.00	9.52	10.80	14.58
P/S		7.17	5.51	4.41	3.82	3.97	3.81	3.51	3.13	3.23	3.62
P/B		9.58	6.06	5.57	4.45	3.83	3.77	3.74	3.84	4.34	5.35
ROA		6.60%	11.20%	11.30%	7.00%	14.10%	16.60%	14.80%	23.60%	22.40%	21.00%
ROE		20.10%	34.40%	27.30%	13.80%	25.70%	29.40%	26.30%	45.00%	42.30%	40.30%
ROIC		31.04%	25.30%	48.26%	31.72%	40.30%	53.98%	50.80%	62.51%	62.29%	59.45%
Sales per Share		14.33	12.47	11.50	11.44	10.46	9.30	8.78	8.24	7.09	6.53
FCF per Share		4.19	4.05	3.15	2.90	3.26	2.93	3.49	2.90	2.51	1.78
Book Value per Share		10.77	11.37	9.18	9.93	10.89	9.46	7.91	6.77	5.30	4.45
Dividend per Share		1.65	1.53	1.39	1.21	1.07	0.89	0.76	0.61	0.52	0.50
