		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		11,692.71m	8,830.67m	6,779.51m	5,504.66m	4,374.56m	3,609.28m	3,204.58m	2,162.63m	1,670.27m	1,364.66m
Operating Income		838.68m	379.79m	305.83m	402.65m	228.35m	49.99m	376.07m	283.64m	191.94m	121.51m
Net Income		558.93m	186.68m	122.64m	266.80m	112.40m	17.15m	226.13m	160.85m	115.86m	83.03m
Weighted Average Shs Out		431.9m	428.8m	425.9m	420.5m	407.4m	388.6m	369.9m	367.7m	395.9m	426.7m
Weighted Average Shs Out (Dil.)		446.8m	438.7m	436.5m	431.9m	425.3m	412.3m	380.6m	380.1m	408.9m	439.9m
EPS		1.29	0.44	0.29	0.63	0.28	0.04	0.61	0.44	0.29	0.19
Market Cap		82,878.68m	53,076.20m	48,884.67m	20,580.75m	21,816.94m	5,142.94m	3,640.25m	9,181.64m	3,010.27m	1,753.62m
Cash and short-term investments		2,822.80m	1,733.78m	2,310.72m	1,608.50m	1,200.41m	748.08m	797.81m	350.39m	320.24m	297.27m
Total assets		19,012.74m	13,586.61m	10,202.87m	7,042.50m	5,412.56m	3,967.89m	3,069.20m	982.07m	679.73m	615.42m
Total debt		6,499.43m	3,364.31m	2,371.36m	885.85m	500.00m	400.00m	400.00m	200.00m	237.98m	39.14m
Shareholders Equity		3,581.96m	2,679.80m	2,223.43m	1,857.71m	1,333.56m	744.67m	642.81m	290.16m	199.14m	347.16m
Working Capital		2,203.66m	1,133.63m	1,902.22m	1,263.90m	904.56m	564.87m	605.80m	248.65m	183.58m	142.91m
Income Quality		-3.20	-7.90	-6.11	0.06	0.87	1.26	1.41	1.72	2.81	3.42
Operating CF		(1,785.95m)	(1,473.98m)	(749.44m)	16.48m	97.83m	21.59m	317.71m	276.40m	325.06m	284.04m
Capital Expenditure		(227.02m)	(184.83m)	(169.21m)	(144.52m)	(120.07m)	(88.55m)	(134.84m)	(157.74m)	(238.98m)	(189.33m)
Depreciation & Amortization		6,330.39m	4,924.98m	3,547.05m	2,781.80m	2,241.68m	1,702.08m	839.62m	338.70m	257.53m	242.21m
Gross Margin		34.49%	31.72%	32.27%	31.83%	28.74%	26.52%	36.34%	37.24%	35.38%	33.30%
EBIT Margin		6.19%	4.65%	4.05%	7.26%	4.58%	1.40%	11.84%	13.29%	11.89%	9.82%
Profit Margin		4.80%	2.10%	1.80%	4.80%	2.60%	0.50%	7.10%	7.40%	6.90%	6.10%
P/E		188.20	325.79	394.41	77.46	187.84	300.62	15.32	57.44	26.86	22.01
P/S		7.61	6.49	7.21	3.74	4.99	1.42	1.24	4.25	1.80	1.29
P/B		24.95	21.00	22.00	11.09	16.42	6.91	9.38	31.84	14.80	5.07
ROA		3.30%	1.50%	1.30%	4.10%	2.30%	0.50%	11.80%	20.80%	19.40%	13.70%
ROE		17.20%	7.50%	5.90%	16.00%	10.10%	2.40%	55.10%	79.90%	42.10%	23.40%
ROIC		4.89%	3.27%	4.38%	9.08%	6.93%	2.02%	22.46%	72.92%	89.88%	73.52%
Sales per Share		27.07	20.59	15.92	13.09	10.74	9.29	8.66	5.88	4.22	3.20
FCF per Share		(4.66)	(3.87)	(2.16)	(0.30)	(0.05)	(0.17)	0.49	0.32	0.22	0.22
Book Value per Share		8.27	6.24	5.20	4.40	3.20	1.92	1.71	0.79	0.53	0.84
Dividend per Share		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
