		Jan '18	Jan '17	Jan '16	Jan '15	Jan '14	Jan '13	Jan '12	Jan '11	Jan '10	Jan '09
Revenue		9,714.00m	6,910.00m	5,010.00m	4,682.00m	4,130.00m	4,280.16m	3,997.93m	3,543.31m	3,326.45m	3,424.86m
Operating Income		3,210.00m	1,934.00m	747.00m	759.00m	496.00m	648.24m	648.30m	255.75m	(98.94m)	(70.70m)
Net Income		3,047.00m	1,666.00m	614.00m	631.00m	440.00m	562.54m	581.09m	253.15m	(67.99m)	(30.04m)
Weighted Average Shs Out		599.0m	541.0m	543.0m	552.0m	588.0m	619.3m	603.6m	575.2m	549.6m	548.1m
Weighted Average Shs Out (Dil.)		632.0m	649.0m	569.0m	563.0m	595.0m	625.0m	616.4m	588.7m	549.6m	548.1m
EPS		5.09	3.08	1.13	1.14	0.75	0.91	0.96	0.44	(0.12)	(0.05)
Market Cap		145,998.00m	59,796.95m	15,787.31m	11,223.06m	9,002.99m	7,687.70m	9,001.58m	13,638.24m	8,430.64m	4,291.25m
Cash and short-term investments		7,108.00m	6,798.00m	5,037.00m	4,623.00m	4,671.81m	3,727.88m	3,129.58m	2,490.56m	1,728.23m	1,255.39m
Total assets		11,241.00m	9,841.00m	7,370.00m	7,201.00m	7,250.89m	6,412.25m	5,552.93m	4,495.25m	3,585.92m	3,350.73m
Total debt		2,000.00m	2,810.00m	1,510.00m	1,398.00m	1,373.88m	19.00m	21.44m	23.39m	24.45m	25.63m
Shareholders Equity		7,471.00m	5,762.00m	4,469.00m	4,418.00m	4,456.40m	4,827.70m	4,145.72m	3,181.46m	2,665.14m	2,394.65m
Working Capital		8,102.00m	6,748.00m	3,702.00m	4,817.00m	4,679.22m	3,799.04m	2,975.40m	2,284.27m	1,696.45m	1,389.37m
Income Quality		1.15	1.00	1.91	1.44	1.90	1.47	1.56	2.67	-7.17	-8.30
Operating CF		3,502.00m	1,672.00m	1,175.00m	906.00m	835.00m	824.17m	909.16m	675.80m	487.81m	249.36m
Capital Expenditure		(591.00m)	(169.00m)	(79.00m)	(101.00m)	(230.00m)	(183.31m)	(138.73m)	(97.89m)	(77.60m)	(407.67m)
Depreciation & Amortization		199.00m	187.00m	197.00m	220.00m	239.00m	226.24m	204.21m	186.99m	196.66m	185.02m
Gross Margin		59.93%	58.80%	56.11%	55.51%	54.92%	52.02%	51.44%	39.77%	35.38%	34.29%
EBIT Margin		33.53%	28.41%	15.77%	17.11%	12.59%	15.54%	16.67%	7.74%	-2.37%	-1.24%
Profit Margin		31.40%	24.10%	12.30%	13.50%	10.70%	13.10%	14.50%	7.10%	-2.00%	-0.90%
P/E		55.05	49.24	26.87	19.72	20.21	15.13	13.93	62.53	0.00	11.51
P/S		16.27	9.74	3.25	2.45	2.20	1.86	2.29	3.75	2.98	1.03
P/B		23.10	11.29	3.56	2.70	2.09	1.64	2.28	4.73	3.50	1.69
ROA		30.60%	19.60%	8.50%	9.10%	7.10%	9.30%	11.50%	6.40%	-2.00%	-0.80%
ROE		47.00%	33.70%	13.90%	14.80%	9.90%	12.30%	15.20%	8.70%	-2.80%	-1.20%
ROIC		66.99%	59.84%	35.69%	28.20%	18.98%	23.72%	27.13%	15.05%	-5.76%	-3.36%
Sales per Share		16.22	12.77	9.23	8.48	7.02	6.91	6.62	6.16	6.05	6.25
FCF per Share		4.86	2.78	2.02	1.46	1.03	1.04	1.28	1.01	0.75	(0.29)
Book Value per Share		12.35	10.36	8.28	8.14	7.83	7.79	6.76	5.45	4.78	4.45
Dividend per Share		0.57	0.49	0.40	0.34	0.31	0.08	0.00	0.00	0.00	0.00
