		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		311,870.00m	240,033.00m	272,156.00m	431,344.00m	459,599.00m	481,700.00m	484,489.00m	378,152.00m	285,129.00m	470,940.00m
Operating Income		22,172.00m	8,809.00m	3,935.00m	30,118.00m	35,234.00m	52,269.00m	56,916.00m	36,340.00m	21,562.00m	52,001.00m
Net Income		12,977.00m	4,575.00m	1,939.00m	14,874.00m	16,371.00m	26,712.00m	30,826.00m	20,127.00m	12,518.00m	26,277.00m
Weighted Average Shs Out		8.1b	6.4b	6.3b	6.3b	6.3b	6.2b	6.2b	6.1b	6.1b	6.2b
Weighted Average Shs Out (Dil.)	
EPS		3.16	1.16	0.62	4.72	5.20	8.54	9.94	6.56	4.08	8.54
Market Cap	
Cash and short-term investments		20,312.00m	19,130.00m	31,752.00m	21,607.00m	9,696.00m	18,550.00m	11,292.00m	13,444.00m	9,719.00m	15,188.00m
Total assets		407,097.00m	411,275.00m	340,157.00m	353,116.00m	357,512.00m	350,294.00m	337,474.00m	322,560.00m	292,181.00m	282,401.00m
Total debt		85,665.00m	92,476.00m	58,379.00m	45,540.00m	44,562.00m	37,754.00m	37,175.00m	44,332.00m	35,033.00m	23,269.00m
Shareholders Equity		194,356.00m	186,646.00m	162,876.00m	171,966.00m	180,047.00m	174,749.00m	158,480.00m	148,013.00m	136,431.00m	127,285.00m
Working Capital		15,637.00m	12,744.00m	22,410.00m	13,566.00m	10,085.00m	17,755.00m	17,118.00m	12,342.00m	11,668.00m	11,041.00m
Income Quality		2.75	4.51	15.37	3.03	3.71	2.51	1.93	2.12	2.45	2.66
Operating CF		35,650.00m	20,615.00m	29,810.00m	45,044.00m	60,749.00m	67,170.00m	59,393.00m	42,712.00m	30,731.00m	69,787.00m
Capital Expenditure		(12,037.00m)	(20,044.00m)	(21,411.00m)	(21,803.00m)	(38,763.00m)	(26,230.00m)	(26,301.00m)	(26,940.00m)	(26,516.00m)	(35,065.00m)
Depreciation & Amortization		26,223.00m	24,993.00m	26,714.00m	24,499.00m	21,509.00m	14,615.00m	13,228.00m	15,595.00m	14,458.00m	13,656.00m
Gross Margin		11.40%	10.01%	8.34%	11.48%	12.29%	14.77%	15.41%	14.52%	14.83%	15.32%
EBIT Margin		6.96%	3.59%	1.35%	7.02%	7.63%	10.80%	11.69%	9.52%	7.49%	11.00%
Profit Margin		4.20%	1.90%	0.70%	3.40%	3.60%	5.50%	6.40%	5.30%	4.40%	5.60%
P/E		57.51	87.71	73.85	14.18	13.71	8.07	11.14	10.18	14.73	6.20
P/S		0.89	0.63	0.53	0.49	0.49	0.45	0.59	0.54	0.65	0.35
P/B	
ROA		3.20%	1.20%	0.60%	4.20%	4.60%	7.80%	9.30%	6.50%	4.40%	9.50%
ROE		6.80%	2.60%	1.20%	8.50%	9.20%	16.00%	20.10%	14.20%	9.50%	20.90%
ROIC		4.39%	1.69%	1.02%	7.48%	8.41%	13.55%	15.55%	10.48%	6.73%	19.16%
Sales per Share		38.29	37.52	43.23	68.52	72.88	77.44	78.73	61.77	46.58	75.83
FCF per Share		2.90	0.09	1.33	3.69	3.49	6.58	5.38	2.58	0.69	5.59
Book Value per Share		23.86	29.18	25.87	27.32	28.55	28.09	25.75	24.18	22.29	20.50
Dividend per Share		3.76	3.76	3.76	3.72	3.56	3.42	3.36	3.36	3.32	3.12
