		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		11,170.00m	10,207.00m	10,360.00m	10,274.00m	9,864.00m	9,649.00m	9,594.00m	8,953.00m	8,640.00m	10,693.00m
Operating Income		2,901.00m	2,130.00m	2,310.00m	2,447.00m	2,672.00m	2,763.00m	2,536.00m	2,111.00m	2,674.00m	2,842.00m
Net Income		1,993.00m	1,968.00m	1,848.00m	1,958.00m	2,016.00m	2,019.00m	1,882.00m	1,540.00m	(2,044.00m)	1,789.00m
Weighted Average Shs Out		374.8m	391.5m	407.9m	424.2m	446.2m	474.5m	492.6m	495.4m	470.6m	413.2m
Weighted Average Shs Out (Dil.)		380.2m	396.1m	413.6m	432.0m	455.2m	481.1m	496.1m	497.9m	474.0m	416.1m
EPS		5.32	5.03	4.53	4.62	4.52	4.25	3.82	3.11	3.50	4.32
Market Cap		36,501.79m	30,311.98m	26,775.34m	32,773.38m	32,218.30m	21,850.63m	20,317.52m	23,263.84m	21,537.72m	16,988.71m
Cash and short-term investments	
Total assets		238,425.00m	242,698.00m	245,155.00m	274,119.00m	243,291.00m	222,582.00m	216,827.00m	160,505.00m	157,946.00m	173,631.00m
Total debt		15,606.00m	17,415.00m	17,750.00m	23,369.00m	21,451.00m	20,336.00m	22,125.00m	31,099.00m	44,112.00m	34,252.00m
Shareholders Equity		22,317.00m	21,219.00m	21,103.00m	21,328.00m	20,378.00m	20,869.00m	19,398.00m	17,787.00m	14,491.00m	12,774.00m
Working Capital	
Income Quality		3.48	1.16	-0.76	-0.29	-1.00	0.96	1.79	0.53	2.07	-1.05
Operating CF		6,933.00m	2,290.00m	(1,403.00m)	(561.00m)	(2,024.00m)	1,933.00m	3,374.00m	823.00m	(4,231.00m)	(1,877.00m)
Capital Expenditure		(637.00m)	(613.00m)	(703.00m)	(427.00m)	(388.00m)	(355.00m)	(298.00m)	(262.00m)	(325.00m)	(681.00m)
Depreciation & Amortization		871.00m	722.00m	604.00m	477.00m	461.00m	291.00m	218.00m	(409.00m)	(457.00m)	225.00m
Gross Margin		100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
EBIT Margin		24.31%	19.07%	20.91%	23.10%	26.68%	28.23%	26.04%	23.12%	-15.30%	26.37%
Profit Margin		17.80%	19.30%	17.80%	19.10%	20.40%	20.90%	19.60%	17.20%	-23.70%	16.70%
P/E		16.63	15.73	14.65	16.99	16.24	11.06	12.48	14.90	12.44	9.10
P/S		3.36	2.97	2.58	3.19	3.27	2.26	2.18	2.60	2.49	1.59
P/B		1.62	1.36	1.26	1.53	1.57	1.03	1.01	1.29	1.48	1.33
ROA		0.80%	0.80%	0.70%	0.70%	0.90%	1.00%	1.00%	0.90%	-1.30%	0.90%
ROE		9.00%	9.10%	8.70%	9.20%	9.90%	9.90%	9.60%	9.20%	-15.20%	14.10%
ROIC	
Sales per Share		29.80	26.07	25.40	24.22	22.10	20.34	19.48	18.07	18.36	25.88
FCF per Share		16.80	4.28	(5.16)	(2.33)	(5.40)	3.33	6.24	1.13	(9.68)	(6.19)
Book Value per Share		60.34	55.25	52.50	51.20	46.77	45.44	39.97	35.89	29.35	29.63
Dividend per Share		1.60	1.44	1.32	1.16	1.04	0.96	0.72	0.04	0.04	0.95
