		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		4,793.00m	4,222.90m	4,200.60m	3,982.10m	3,484.20m	3,022.50m	2,747.10m	2,367.20m	1,867.40m	2,116.30m
Operating Income		2,108.80m	1,733.40m	1,898.90m	1,890.90m	1,700.40m	1,435.10m	1,250.60m	1,070.00m	688.90m	796.20m
Net Income		1,497.80m	1,215.00m	1,223.00m	1,229.60m	1,047.70m	883.60m	773.20m	672.20m	433.60m	490.80m
Weighted Average Shs Out		242.3m	243.4m	251.1m	259.4m	260.9m	254.9m	252.6m	256.4m	257.5m	258.4m
Weighted Average Shs Out (Dil.)	
EPS		6.07	4.85	4.74	4.68	4.02	3.47	3.01	2.60	1.69	1.89
Market Cap		25,220.76m	18,706.03m	17,950.81m	22,271.08m	21,856.26m	16,596.81m	14,600.20m	16,550.34m	13,711.98m	9,157.55m
Cash and short-term investments	
Total assets		7,535.40m	6,225.00m	5,106.90m	5,644.40m	5,033.10m	4,202.80m	3,770.30m	3,642.00m	3,210.30m	2,819.40m
Total debt		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Shareholders Equity		5,824.40m	5,008.60m	4,762.00m	5,395.20m	4,818.10m	3,846.10m	3,420.70m	3,296.50m	2,882.20m	2,488.80m
Working Capital	
Income Quality		0.15	0.14	1.25	1.09	1.18	1.02	1.23	1.09	1.24	1.51
Operating CF		229.50m	170.50m	1,530.50m	1,343.90m	1,233.20m	902.80m	948.40m	732.80m	535.60m	741.80m
Capital Expenditure		(186.10m)	(148.30m)	(151.30m)	(126.20m)	(105.80m)	(76.90m)	(82.30m)	(118.00m)	(133.90m)	(144.10m)
Depreciation & Amortization		143.60m	133.40m	126.30m	111.70m	90.60m	80.90m	72.40m	63.00m	65.70m	62.30m
Gross Margin		100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
EBIT Margin		50.53%	45.50%	47.67%	50.30%	48.80%	47.48%	45.52%	45.20%	36.89%	37.62%
Profit Margin		31.20%	28.80%	29.10%	30.90%	30.10%	29.20%	28.10%	28.40%	23.20%	23.20%
P/E		16.92	16.65	15.08	18.35	20.84	18.77	18.92	24.82	31.51	18.75
P/S		5.45	4.47	4.27	5.59	6.27	5.49	5.36	6.99	7.34	4.33
P/B		4.56	3.87	3.77	4.13	4.54	4.32	4.47	5.02	4.76	3.68
ROA		21.60%	18.90%	22.50%	21.80%	21.40%	21.00%	20.10%	19.20%	14.30%	16.40%
ROE		27.80%	25.00%	25.20%	23.50%	23.60%	23.60%	22.80%	21.80%	16.30%	18.90%
ROIC	
Sales per Share		19.78	17.35	16.73	15.35	13.35	11.86	10.87	9.23	7.25	8.19
FCF per Share		0.18	0.09	5.49	4.70	4.32	3.24	3.43	2.40	1.56	2.31
Book Value per Share		24.04	20.58	18.97	20.80	18.47	15.09	13.54	12.86	11.19	9.63
Dividend per Share		2.28	2.16	4.08	1.76	1.52	2.36	1.24	1.08	1.00	0.96
