		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		28,902.00m	27,625.00m	26,815.00m	27,174.00m	26,191.00m	25,740.00m	25,446.00m	25,112.00m	24,680.00m	24,477.00m
Operating Income		3,099.00m	4,416.00m	5,113.00m	5,458.00m	5,306.00m	3,544.00m	1,738.00m	4,694.00m	5,093.00m	4,086.00m
Net Income		2,056.00m	3,014.00m	3,439.00m	3,692.00m	3,673.00m	2,473.00m	1,426.00m	3,216.00m	3,622.00m	2,924.00m
Weighted Average Shs Out		276.0m	288.1m	310.6m	338.8m	370.3m	386.2m	415.8m	476.5m	563.2m	595.9m
Weighted Average Shs Out (Dil.)		278.6m	291.0m	313.9m	342.5m	374.3m	389.8m	420.5m	482.5m	568.6m	604.3m
EPS		7.39	10.39	10.99	10.82	9.84	6.35	3.40	6.69	6.38	4.87
Market Cap		37,429.46m	35,291.40m	34,334.13m	35,078.30m	32,962.69m	27,395.68m	24,776.77m	25,573.34m	27,242.17m	26,420.43m
Cash and short-term investments	
Total assets		103,483.00m	100,245.00m	100,184.00m	103,078.00m	103,812.00m	104,938.00m	104,575.00m	105,656.00m	109,560.00m	109,632.00m
Total debt		6,571.00m	6,437.00m	6,344.00m	6,349.00m	6,346.00m	6,350.00m	6,605.00m	6,611.00m	6,527.00m	6,181.00m
Shareholders Equity		23,731.00m	23,221.00m	23,598.00m	24,836.00m	24,796.00m	25,405.00m	24,477.00m	25,475.00m	27,415.00m	25,319.00m
Working Capital	
Income Quality		1.83	1.39	1.00	1.00	1.04	1.31	1.52	0.95	1.17	1.07
Operating CF		3,762.00m	4,202.00m	3,434.00m	3,693.00m	3,816.00m	3,230.00m	2,169.00m	3,054.00m	4,231.00m	3,138.00m
Capital Expenditure		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Depreciation & Amortization		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Gross Margin		39.56%	45.45%	48.82%	48.96%	49.19%	42.98%	36.04%	47.40%	49.72%	46.92%
EBIT Margin		10.72%	15.99%	19.07%	20.09%	20.26%	13.77%	6.83%	18.69%	20.64%	16.69%
Profit Margin		7.10%	10.90%	12.80%	13.60%	14.00%	9.60%	5.60%	12.80%	14.70%	11.90%
P/E		15.63	12.32	10.27	9.78	9.20	11.31	15.49	8.33	7.82	9.28
P/S		1.31	1.30	1.28	1.29	1.26	1.06	0.98	1.02	1.10	1.08
P/B		1.57	1.43	1.43	1.39	1.31	1.08	0.98	0.98	0.97	1.04
ROA		2.00%	3.00%	3.40%	3.50%	3.60%	2.40%	1.30%	3.00%	3.30%	2.60%
ROE		8.70%	12.50%	14.20%	14.60%	14.70%	9.80%	5.70%	12.20%	13.30%	11.40%
ROIC	
Sales per Share		104.72	95.89	86.33	80.21	70.73	66.65	61.20	52.70	43.82	41.08
FCF per Share		13.63	14.59	11.06	10.90	10.31	8.36	5.22	6.41	7.51	5.27
Book Value per Share		87.02	82.23	78.79	76.07	69.09	66.72	60.89	56.90	51.30	43.38
Dividend per Share		2.83	2.62	2.38	2.15	1.96	1.79	1.59	1.41	1.23	1.19
