		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		65,872.00m	60,906.00m	58,363.00m	58,232.00m	55,438.00m	54,127.00m	53,105.00m	49,545.00m	45,297.00m	51,486.00m
Operating Income		7,529.00m	5,467.00m	7,668.00m	4,968.00m	7,034.00m	1,343.00m	6,080.00m	5,641.00m	3,508.00m	5,382.00m
Net Income		4,910.00m	3,431.00m	4,844.00m	3,032.00m	4,372.00m	807.00m	3,804.00m	3,338.00m	1,968.00m	3,003.00m
Weighted Average Shs Out		861.7m	872.7m	890.4m	905.2m	928.4m	954.0m	965.0m	988.9m	992.8m	995.2m
Weighted Average Shs Out (Dil.)	
EPS		5.64	3.89	5.38	3.31	4.65	0.84	3.88	3.36	1.97	2.96
Market Cap		103,180.11m	100,661.45m	85,684.61m	100,634.01m	97,551.03m	70,339.21m	71,783.95m	71,776.87m	56,957.18m	54,894.39m
Cash and short-term investments		4,069.00m	4,567.00m	4,726.00m	3,283.00m	5,245.00m	7,924.00m	4,275.00m	4,081.00m	2,100.00m	1,049.00m
Total assets		45,574.00m	40,377.00m	38,311.00m	35,440.00m	36,212.00m	38,863.00m	34,701.00m	33,597.00m	31,883.00m	31,879.00m
Total debt		24,289.00m	16,075.00m	14,334.00m	10,779.00m	10,872.00m	12,870.00m	11,128.00m	10,846.00m	9,521.00m	9,871.00m
Shareholders Equity		994.00m	405.00m	2,470.00m	2,141.00m	6,474.00m	4,653.00m	7,035.00m	7,979.00m	7,630.00m	6,780.00m
Working Capital		2,832.00m	2,119.00m	2,512.00m	2,597.00m	6,256.00m	7,201.00m	5,770.00m	5,667.00m	3,036.00m	1,028.00m
Income Quality		0.30	1.89	1.53	1.89	1.67	8.94	1.86	1.15	2.69	2.81
Operating CF		1,479.00m	6,473.00m	7,430.00m	5,726.00m	7,304.00m	7,216.00m	7,073.00m	3,835.00m	5,285.00m	8,426.00m
Capital Expenditure		(5,203.00m)	(2,877.00m)	(2,353.00m)	(2,275.00m)	(1,961.00m)	(2,058.00m)	(1,978.00m)	(1,085.00m)	(1,542.00m)	(2,489.00m)
Depreciation & Amortization		2,282.00m	2,224.00m	2,084.00m	1,923.00m	1,867.00m	1,858.00m	1,782.00m	1,792.00m	1,747.00m	1,814.00m
Gross Margin		93.49%	94.00%	93.35%	90.98%	90.50%	90.17%	89.96%	91.72%	92.41%	89.65%
EBIT Margin		11.54%	9.06%	13.16%	8.57%	12.72%	2.53%	11.53%	11.39%	7.77%	10.60%
Profit Margin		7.50%	5.60%	8.30%	5.20%	7.90%	1.50%	7.20%	6.70%	4.30%	5.80%
P/E		28.99	20.40	17.89	33.59	22.60	87.77	17.81	21.60	29.12	18.64
P/S		1.60	1.68	1.47	1.73	1.76	1.30	1.37	1.45	1.26	1.07
P/B		68.38	36.70	34.69	47.00	15.07	15.12	9.21	9.00	7.46	8.10
ROA		11.90%	8.80%	12.80%	8.50%	11.80%	2.10%	10.90%	10.10%	6.00%	8.30%
ROE		458.70%	166.70%	236.90%	61.90%	98.50%	11.80%	48.70%	41.90%	27.90%	29.70%
ROIC		14.43%	12.32%	18.51%	12.70%	18.42%	3.46%	15.92%	14.75%	9.01%	13.41%
Sales per Share		76.44	69.79	65.55	64.33	59.72	56.74	55.03	50.10	45.63	51.74
FCF per Share		(4.32)	4.12	5.70	3.81	5.76	5.41	5.28	2.78	3.77	5.97
Book Value per Share		1.15	0.46	2.77	2.37	6.97	4.88	7.29	8.07	7.69	6.81
Dividend per Share		3.32	3.12	2.92	2.68	2.48	2.28	2.08	1.88	1.80	1.80
