		Dec '17	Dec '16	Dec '15	Dec '14	Dec '13	Dec '12	Dec '11	Dec '10	Dec '09	Dec '08
Revenue		751.92m	685.29m	546.54m	369.28m	301.16m	269.94m	225.86m	239.92m	210.64m	182.67m
Operating Income		170.48m	162.88m	175.02m	127.60m	100.56m	52.56m	33.72m	62.28m	46.16m	66.01m
Net Income		106.94m	99.41m	106.48m	72.99m	58.98m	30.31m	20.11m	36.98m	28.79m	40.04m
Weighted Average Shs Out		34.8m	34.9m	34.8m	33.6m	35.9m	39.6m	39.2m	39.1m	37.6m	37.4m
Weighted Average Shs Out (Dil.)		35.8m	35.7m	35.9m	35.2m	37.8m	40.6m	40.4m	40.6m	40.8m	40.3m
EPS		3.07	2.85	3.06	2.17	1.64	0.76	0.51	0.95	0.76	1.07
Market Cap		953.05m	996.21m	825.21m	700.66m	508.41m	179.02m	143.16m	190.74m	226.02m	96.85m
Cash and short-term investments	
Total assets		1,455.00m	1,060.01m	993.55m	911.77m	920.09m	925.74m	894.03m	803.84m	678.25m	544.64m
Total debt		49.58m	15.03m	24.05m	36.53m	52.19m	46.22m	47.18m	46.19m	44.93m	40.70m
Shareholders Equity		439.99m	371.19m	293.09m	199.92m	175.61m	163.51m	150.01m	139.79m	113.27m	101.55m
Working Capital	
Income Quality		2.29	1.22	2.06	1.69	2.66	4.70	5.60	-0.11	0.72	1.26
Operating CF		245.01m	121.40m	219.27m	123.35m	156.96m	142.51m	112.58m	(4.06m)	20.82m	50.31m
Capital Expenditure		(4.59m)	(8.19m)	(11.78m)	(9.18m)	(1.34m)	(2.70m)	(2.33m)	(1.68m)	(0.76m)	(0.48m)
Depreciation & Amortization		4.06m	3.24m	2.03m	1.19m	1.01m	0.84m	0.64m	0.83m	0.49m	0.48m
Gross Margin		53.40%	56.04%	65.65%	66.62%	63.93%	53.25%	44.96%	52.75%	49.61%	55.47%
EBIT Margin		22.67%	23.77%	32.02%	34.56%	33.39%	19.47%	14.93%	25.96%	21.92%	36.13%
Profit Margin		14.20%	14.50%	19.50%	19.80%	19.60%	11.20%	8.90%	15.40%	13.70%	21.90%
P/E		11.35	8.61	7.58	9.42	8.83	5.76	4.90	5.13	7.72	2.27
P/S		1.31	1.49	1.51	1.90	1.69	0.66	0.61	0.80	1.07	0.53
P/B		2.26	2.67	2.74	3.42	2.77	1.06	0.89	1.37	1.95	0.89
ROA		7.40%	8.90%	10.40%	7.90%	6.10%	3.10%	2.20%	4.70%	4.20%	7.10%
ROE		25.50%	28.20%	39.70%	39.60%	35.20%	18.70%	13.10%	28.70%	24.60%	41.30%
ROIC	
Sales per Share		21.58	19.63	15.71	11.00	8.40	6.81	5.76	6.13	5.60	4.88
FCF per Share		6.90	3.24	5.96	3.40	4.34	3.53	2.81	(0.15)	0.53	1.33
Book Value per Share		12.72	10.59	8.45	5.98	5.23	4.12	3.83	3.56	3.01	2.72
Dividend per Share		0.69	0.69	0.63	0.40	0.33	0.38	0.42	0.32	0.54	0.58
